Token,SKU,GTIN,Price,Quantity
UOZHK5RRARGKSXPIV4GU3A67,00000123,722252102003,2.49,0
L2ZTK2TY4H53VGAOYOGCRZU4,00000246,722252161093,2.49,0
A7A3USA7GJQCLVRY6SLRGIMX,00000987,605296222749,11.99,30
SUHY4R4VOVGYVGWGYBAVF43E,00003681,722252180629,3.49,35
OCMMHMXLQYSVECFDIJ42GRSA,00007924,086301514040,54.99,1
KRF4CETORYL7COK5AOE5GENM,00007962,086301514064,54.99,4
LZMM3CTY7OQH77DQF474DHSV,00008006,086301514088,54.99,4
KF7ESQUUJVJHVHN25X7EJY4V,00008044,086301514101,54.99,5
QZFZDLSIJBUDMUKDV4YOGBYS,00008082,086301514125,54.99,5
WFTNGBJ5O6GFTDDCD5NQDICC,00030625,840557112593,15.0,3
3QBEXLR32KP6R3TKPVYX4VAO,00030700,855111550025,15.0,3
77C6GYYGSOSKLUHEUY2XZQNV,00042406,086301564076,59.99,5
6YCVKEB5RC773BDMPQH7SQWR,00042444,086301564090,59.99,4
XDBL5O4DBGWIUAKG5QASRUSW,00052085,780207002709,9.99,0
65NYBCILKDFWWZDBDQJ44GYG,00052283,086301574105,59.99,4
AZHPGAJNLBFKDLRHKGFSA3LT,00052320,086301574129,59.99,7
LMMETOFP3SE7PVZJJA5TZE5B,00052382,086301514149,54.99,2
RKWEAK4E3BV2BBZN7HFIDS7J,00060943,086301574143,59.99,1
Z5TMXNE4USHDGGTCB2K5O4EJ,00062909,086301524148,54.99,0
56KNVAFC7CNOF2EXNHA2GOEE,00064248,086301564113,59.99,2
RGIZYSJUJQLPLB62V6S5N44J,00064286,855111550018,15.0,2
4KTQMAKYRMIXB3SAJQMAGLF5,00064361,210000006436,24.99,2
YZ4IEFEHBRIPF4XZ4E2K4O6T,00071574,722252180674,3.49,18
X37SNC53QHW4UVB4NNYS5OOO,00079662,086301564052,59.99,1
QFL7L3LTUOZLUBQFXNSJ5TWN,00094887,086301574082,59.99,0
TM4BQJOQH7L5IFMHNTFLYZNC,00114806,722252180698,3.49,36
K4LYHOIDZQIQYUC6Q2HI66FW,00125741,769493100122,2.25,75
ISZMZYWFQ4TLWBGTDGPBIAOK,00125765,769493100054,2.25,50
CNG3LNQOOVFT5E65KKL7WBW5,00125789,769493100023,2.25,17
